year,froot_gCm2,leaf_gCm2,p_uptake_demand_ratio,gpp_pft7_gCm2day,gpp_pft9_gCm2day,gpp_pft10_gCm2day,l2fr_site,l2fr_canopy,l2fr_ustory,leaf_alloc_gCm2yr,froot_alloc_gCm2yr
1901,3.0056371,0,0.27534336,-1.2492776e-15,0,0,0.010319136,0.029091462,0.01011091,0,0.00057611488
1901.0833,2.9051143,0,0.24646498,-1.71935e-06,0,0,0.010323405,0.027542131,0.010106687,0,0.00027289273
1901.1667,2.8077799,0,0.24268381,-3.5649059e-05,0,0,0.010328515,0.026117912,0.010096719,0,0.00026882507
1901.25,2.7106667,0,0.23939689,-0.00015723218,0,0,0.010333415,0.024779651,0.010087384,0,0.00026468476
1901.3333,2.6170562,0,0.25092673,-0.00012330573,0,0,0.010337943,0.023567216,0.010078957,0,0.00026060853
1901.4167,2.6647395,123.6794,0.15981191,1.6089876,4.1072226,0.1694027,0.010105348,0.022414312,0.01007134,2719.3435,2.4657286
1901.5,2.8166128,250.62642,0.12397126,2.8950831,8.6118389,0.34930769,0.010181445,0.021221887,0.01006445,394.68936,3.1753779
1901.5833,3.0993978,273.06613,0.065519325,2.4497198,7.5851597,0.21307117,0.012391858,0.020145996,0.010058382,228.70069,4.7364583
1901.6667,3.5239786,287.66686,0.040589422,1.4448129,4.7472269,0.1425236,0.013235213,0.019613316,0.010061193,130.00621,6.668312
1901.75,3.7404003,123.47841,0.014747511,0.41121442,1.1566916,0.043074829,0.014084274,0.019808065,0.01006366,33.208431,2.0741547
1901.8333,3.654852,0,0.0056356867,-2.8328312e-08,0,0,0.014013103,0.020085275,0.010057887,0,0.012378587
1901.9167,3.5300329,0,0.0048378129,-4.7843568e-11,0,0,0.014075583,0.020303736,0.010052603,0,0.0035263704
1902,3.4074797,0,0.0043374463,0,0,0,0.014129656,0.020470649,0.010047751,0,0.00012740243
1902.0833,3.2948023,0,0.0035050744,-1.2082262e-14,0,0,0.014180966,0.020585451,0.010043573,0,0.00012550391
1902.1667,3.1860219,0,0.0023262233,-7.6472115e-05,0,0,0.014228256,0.020662574,0.010039791,0,0.00012363598
1902.25,3.077395,0,0.0013831987,-8.5452495e-05,0,0,0.014273344,0.020709371,0.010036247,0,0.00012172984
1902.3333,2.975896,0,0.0013331446,0.66932142,0,0,0.014312414,0.020727284,0.010033046,0,0.00011997265
1902.4167,2.7821441,200.2175,0.0021055015,3.2502174,8.5618667,0.17351109,0.01044509,0.020297423,0.010030015,2995.9181,4.9374158
1902.5,3.240085,260.62003,0.0016595229,2.8944827,8.4183268,0.28711235,0.014580522,0.019627504,0.010027112,222.31145,12.26027
1902.5833,5.711169,276.63818,0.001124277,2.1988866,6.4100564,0.34305361,0.02505048,0.020333882,0.010024458,148.79659,40.937822
1902.6667,8.3115259,288.09839,0.00086588162,1.4824363,4.588013,0.23992054,0.035790015,0.022498943,0.010022675,135.90486,29.612164
1902.75,9.7277295,181.27017,0.00072340749,0.50951908,1.3354583,0.06547224,0.041884296,0.025856303,0.010024172,50.63056,13.015832
1902.8333,9.7535541,0,0.0006456456,0.00010936787,0,0,0.042468023,0.029398406,0.010036884,0,0.73027348
1902.9167,9.6357474,0,0.00054581347,0.00030651795,0,0,0.042684972,0.032545403,0.01005177,0,0.80157119
1903,9.5208585,0,0.00041706825,0.01206781,0,0,0.04286626,0.035409406,0.010065408,0,0.61598597
1903.0833,9.4026923,0,0.00032276561,0.0090598581,0,0,0.043018609,0.03785333,0.010077128,0,0.60528039
1903.1667,9.2452411,0,0.0002793824,0.002758996,0,0,0.043159544,0.040026065,0.010087409,0,0.59381561
1903.25,8.9947162,0,0.00026765646,-0.00015588609,0,0,0.043311253,0.041875936,0.010095275,0,0.56954026
1903.3333,8.7905861,0,0.00028054087,0.60921421,0,0,0.043429583,0.043324322,0.010100881,0,0.54296019
1903.4167,4.6971748,176.66912,0.00081738044,2.5865779,6.4176713,0.2185012,0.019313904,0.04340532,0.010100793,3179.4641,5.4714607
1903.5,3.2432121,271.76341,0.0012039442,2.9840725,9.0041985,0.43560015,0.011579269,0.040508378,0.010091331,183.6724,4.5978214
1903.5833,3.9064717,288.8982,0.00085372064,2.4526989,7.8189368,0.36371287,0.017500941,0.038218074,0.010082482,197.76417,18.288123
1903.6667,5.9131659,300.19522,0.00056166644,1.5485978,4.9326053,0.20316316,0.022923706,0.036555026,0.010078143,115.1733,30.497536
1903.75,7.529337,108.33446,0.00032232711,0.33996607,1.0067511,0.044456579,0.028352898,0.036238857,0.010086295,27.38892,9.7721178
1903.8333,7.5772759,0,0.00025940227,0.0042619686,0,0,0.028312141,0.036299795,0.010100651,0,0.98514427
1903.9167,7.4692741,0,0.00025443427,0.0015953783,0,0,0.028542634,0.036334526,0.010113706,0,1.3267463
1904,7.323097,0,0.00024550621,-2.049652e-10,0,0,0.028760375,0.036282346,0.010125001,0,0.71412043
1904.0833,7.1442085,0,0.0002608285,-5.6805125e-10,0,0,0.028934944,0.036131728,0.010133998,0,0.69534503
1904.1667,6.9705099,0,0.00027196249,-0.00010998339,0,0,0.029097823,0.03589984,0.010141439,0,0.68285915
1904.25,6.7950655,0,0.00028538104,-0.00028949568,0,0,0.029256113,0.035594057,0.010147749,0,0.6550128
1904.3333,6.6298707,0,0.00037732237,0.63325699,0,0,0.029397899,0.035218503,0.01015282,0,0.64057445
1904.4167,3.6767698,199.9204,0.0012060634,3.0831841,7.8749339,0.19293627,0.01325192,0.034132611,0.010149971,3151.7774,4.049
1904.5,3.8326238,270.935,0.0010627956,2.8975973,8.834759,0.30567348,0.0149746,0.032161724,0.010135694,173.46248,25.299385
1904.5833,7.1428395,284.64022,0.00048325511,2.3156465,7.2746249,0.31152703,0.028511193,0.031314544,0.0101233,121.30628,44.100256
1904.6667,9.9271676,294.66641,0.00035892232,1.5663615,5.1198448,0.2412239,0.038230408,0.032334439,0.010113516,113.98505,32.784296
1904.75,11.380146,77.384219,0.00021267775,0.33878752,0.63825268,0.041406464,0.044822931,0.034888238,0.010109077,23.294342,9.4648473
1904.8333,11.37031,0,0.00017358556,0.0062717895,0,0,0.045343369,0.037558194,0.010107407,0,1.8322538
1904.9167,11.171241,0,0.00017058129,-1.1112146e-24,0,0,0.045658,0.03983169,0.010104815,0,3.2939964
1905,11.069517,0,0.00017840875,-3.760414e-07,0,0,0.046078075,0.04168706,0.010100435,0,1.796511
1905.0833,10.862386,0,0.00018398093,-2.3781012e-09,0,0,0.046330266,0.043091245,0.010095078,0,1.770873
1905.1667,10.6601,0,0.00018775175,-1.3590128e-05,0,0,0.046561275,0.044192139,0.010089009,0,1.7454183
1905.25,10.455738,0,0.0001947017,-4.7881938e-07,0,0,0.046780568,0.045069054,0.01008246,0,1.719043
1905.3333,10.264899,0,0.00022887891,0.3415973,0,0,0.046979114,0.045720793,0.010076018,0,1.695339
1905.4167,5.8093434,213.55593,0.00059896562,3.0990764,8.4491684,0.21753049,0.026352914,0.045580525,0.010069701,3148.6686,7.9237848
1905.5,5.9772027,269.6988,0.00065719779,2.9442381,8.9907134,0.3560336,0.027695175,0.044221092,0.010066384,134.61111,38.833185
1905.5833,8.7759746,281.65376,0.00043923451,2.39503,7.4526665,0.3950423,0.039342724,0.044105019,0.010065025,111.0664,35.477565
1905.6667,11.415089,291.3284,0.00033245506,1.3502496,4.4102183,0.23715367,0.048494969,0.046011012,0.010064725,108.1047,37.288876
1905.75,13.539787,124.88388,0.00020886488,0.69369475,1.0118445,0.059691453,0.057443134,0.049353026,0.010078443,38.831294,17.525504
1905.8333,13.712812,0,0.00017086732,0.04569961,0,0,0.058026336,0.052717663,0.010100478,0,2.4812352
1905.9167,13.673618,0,0.00017464368,6.8767125e-05,0,0,0.058423903,0.055791624,0.010121494,0,4.0565959
1906,13.746765,0,0.00017353724,0.00016442318,0,0,0.058765855,0.058587193,0.010140706,0,2.2067887
1906.0833,13.682524,0,0.00017452353,0.047436057,0,0,0.058998615,0.060962234,0.010157191,0,2.2036787
1906.1667,13.619221,0,0.00017553588,0.019011822,0,0,0.059199341,0.063083716,0.010172021,0,2.2006235
1906.25,13.554455,0,0.00017698118,0.087352842,0,0,0.059377793,0.065040588,0.010185821,0,2.1893236
1906.3333,13.489863,0,0.00018092422,0.4999413,0,0,0.059526514,0.066782989,0.010198189,0,2.1796594
1906.4167,8.0712857,185.64652,0.00036771424,1.6655995,3.9757331,0.20549205,0.032565121,0.06710349,0.010202487,3276.0457,4.1416619
1906.5,3.8954432,285.85184,0.0011536613,3.062504,9.9975265,0.62160024,0.013177531,0.062388234,0.010185152,287.17702,20.882564
1906.5833,6.3816993,298.3948,0.00053328456,2.2065684,7.4893371,0.46018647,0.02704493,0.058395706,0.010167298,118.59569,33.424627
1906.6667,8.6705619,307.40339,0.00032132724,1.5493645,5.4179488,0.32593714,0.032757103,0.056419116,0.010157725,97.970076,28.202248
1906.75,10.692566,315.03189,0.00021902053,0.64717143,2.2398915,0.14158428,0.040385917,0.055925332,0.010159357,67.201663,27.787855
1906.8333,11.695412,0,0.00017310104,0.06236143,0.017818054,0.0016262488,0.044565629,0.056864396,0.010175125,0,2.7558003
1906.9167,11.521402,0,0.00017438065,-2.211524e-07,0,0,0.044836286,0.058063705,0.010192182,0,3.0497116
1907,11.386967,0,0.00018624814,-2.4505171e-13,0,0,0.045225605,0.058734808,0.010203144,0,1.9103034
1907.0833,11.177449,0,0.00019237871,-1.6830068e-08,0,0,0.045520037,0.058937933,0.010208401,0,1.8823227
1907.1667,10.972858,0,0.00019584634,-8.074684e-07,0,0,0.045791395,0.058813367,0.010209471,0,1.8556947
1907.25,10.766199,0,0.00019992894,-2.3756437e-05,0,0,0.046050895,0.058432132,0.010207213,0,1.82828
1907.3333,10.564529,0,0.00021020253,0.0083100307,0,0,0.046290278,0.057855785,0.010202323,0,1.7998748
1907.4167,7.787718,124.47495,0.00028596297,0.72606947,0.71281733,0.035262614,0.033913638,0.056797661,0.010193505,2420.8744,2.0726759
1907.5,3.3903569,247.71701,0.0012599364,2.2445403,7.3556811,0.23800556,0.011002665,0.053045087,0.010175821,825.73876,6.4582055
1907.5833,5.5204984,283.30472,0.00082240725,2.1655333,7.1140208,0.28602694,0.020194609,0.049401097,0.010159876,119.53908,41.792917
1907.6667,8.2629817,293.6407,0.00043905282,1.3811281,4.5247298,0.21707298,0.030532381,0.047523133,0.010155341,105.06118,27.632038
1907.75,9.6088303,96.511737,0.00024776577,0.34383995,0.53780152,0.037541387,0.035588097,0.046566937,0.010170292,26.943051,8.3823491
1907.8333,9.5717637,0,0.00018613541,0.005176835,0,0,0.036058806,0.04569184,0.010189084,0,1.3380203
