year,froot_gCm2,leaf_gCm2,p_uptake_demand_ratio,gpp_pft7_gCm2day,gpp_pft9_gCm2day,gpp_pft10_gCm2day,l2fr_site,l2fr_canopy,l2fr_ustory,leaf_alloc_gCm2yr,froot_alloc_gCm2yr
1901,0.15648209,0,1.9807521,0.0099313461,0,0,0.025837647,0.048854165,0.017841324,0,0.046481409
1901.0833,0.14550064,0,0.26878294,-0.00022498805,0,0,0.025971269,0.047831126,0.018212669,0,0.042208326
1901.1667,0.13390579,0,0.26420203,-0.0020124897,0,0,0.025691893,0.046730909,0.01854091,0,0.038902882
1901.25,0.094645628,0.93126274,0.25722629,-0.0056828374,0,0,0.025247239,0.045442045,0.018756339,27.065778,0.027358055
1901.3333,0.046990186,2.6475785,0.23768421,0.58928577,0,-5.5197384e-06,0.024133664,0.042492326,0.018116882,8.780874e-06,0
1901.4167,0.051957883,3.2498855,0.15241918,4.9513311,0.0098929463,0.017132706,0.023189824,0.039361134,0.017356092,3.0999078,0.0022699957
1901.5,0.068841262,4.5512603,0.038192533,12.703161,0.027938655,0.10602692,0.021691984,0.036816087,0.01667477,10.720258,0.43454389
1901.5833,0.14087043,5.5086985,0.01092861,11.133371,0.021581491,0.10468781,0.025438493,0.03773164,0.016113345,5.7036883,0.89335322
1901.6667,0.19293386,5.4265819,0.0078477468,6.7291325,0.011026882,0.051576134,0.029830763,0.041512616,0.015995491,3.7512773,0.52285078
1901.75,0.20743832,0,0.0050654165,2.0911173,0,0,0.028504452,0.045524586,0.01609578,0,0.057580204
1901.8333,0.1998362,0,0.002604085,0.0097105841,0,0,0.025833761,0.049131036,0.016234774,0,0.055593523
1901.9167,0.1811125,0,0.0025721432,-1.0209489e-08,0,0,0.023632566,0.051793154,0.016365392,0,0.088294906
1902,0.15067443,0,1.2474314,-4.0708897e-07,0,0,0.023688247,0.053280324,0.016695432,0,0.044833842
1902.0833,0.13661958,0,0.018410338,-3.2416895e-06,0,0,0.023494534,0.054026134,0.017166479,0,0.039398039
1902.1667,0.12387747,0,0.018167308,-0.00063537423,0,0,0.023209522,0.054321028,0.017598147,0,0.035727144
1902.25,0.10613854,0.34847565,0.018454347,-0.001614323,-5.7090673e-07,-2.8895093e-05,0.022768565,0.054367702,0.017999539,20.454801,0.051744977
1902.3333,0.033479242,2.0350129,0.030299166,0.77373159,0.0022325799,0.00049769571,0.021441616,0.051797401,0.01773607,0.12136901,0.00072418015
1902.4167,0.039038758,2.9387809,0.041787133,9.3999936,0.024718458,0.07275309,0.021647396,0.047791917,0.017039942,8.7074433,0.11273664
1902.5,0.094908428,3.5951913,0.034725666,12.919966,0.028107918,0.11965637,0.022894487,0.046073966,0.016466107,4.6876157,1.0798041
1902.5833,0.17898035,3.7346699,0.023330852,10.219914,0.021572254,0.1065177,0.029984249,0.048636202,0.015993886,3.3332177,0.93843926
1902.6667,0.25744902,3.7616007,0.0093387859,6.9276233,0.01363852,0.06222943,0.035895199,0.052970015,0.015959579,3.2941548,0.93690606
1902.75,0.28346913,0,0.0046327938,2.5815045,0,0,0.034634978,0.05775293,0.017681208,0,0.088737282
1902.8333,0.27959209,0,0.0035755865,0.00020276782,0,0,0.026444454,0.06200745,0.019704042,0,0.086592038
1902.9167,0.2785229,0,0.0028303068,0.0011313632,0,0,0.024227072,0.065559439,0.021591106,0,0.17775147
1903,0.28298894,0,0.0026264656,0.064420307,0,0,0.024816342,0.068563819,0.02329357,0,0.088785382
