year,froot_gCm2,leaf_gCm2,p_uptake_demand_ratio,gpp_pft7_gCm2day,gpp_pft9_gCm2day,gpp_pft10_gCm2day,l2fr_site,l2fr_canopy,l2fr_ustory,leaf_alloc_gCm2yr,froot_alloc_gCm2yr
1901,0.40838658,79.137899,1.1976497,-1.2492776e-15,0,0,0.010319136,0.010016765,0.0099932952,61.834499,0.0047089554
1901.0833,0.35113253,77.355087,0.24761301,-1.71935e-06,0,0,0.010323405,0.010021291,0.01000001,60.441659,0
1901.1667,0.3028333,76.147564,0.24442235,-3.5649059e-05,0,0,0.010328515,0.010019296,0.010000009,59.498415,0
1901.25,0.26044619,74.834615,0.2413404,-0.00015723218,0,0,0.010333415,0.010017427,0.010000008,58.47276,0
1901.3333,0.22464953,73.463537,0.25308427,-0.00012330573,0,0,0.010337943,0.01001574,0.010000007,57.401638,0
1901.4167,0.27008003,75.196505,0.1991851,1.6089876,4.1072226,0.1694027,0.010105348,0.010014216,0.010000007,126.23186,4.6830834
1901.5,0.60152193,78.633457,0.19053787,2.8950831,8.6118389,0.34930769,0.010181445,0.010012845,0.010000006,99.841103,1.8284756
1901.5833,0.62549883,80.80408,0.14103019,2.4497198,7.5851597,0.21307117,0.012391858,0.010013035,0.010000005,96.179171,1.3527097
1901.6667,0.63128205,81.622258,0.11435371,1.4448129,4.7472269,0.1425236,0.013235213,0.010013787,0.010000005,86.072497,1.2132424
1901.75,0.61759213,81.522159,0.069075882,0.41121442,1.1566916,0.043074829,0.014084274,0.010012457,0.010000004,72.076943,0.58732115
1901.8333,0.53810416,80.604434,0.044103842,-2.8328312e-08,0,0,0.014013103,0.01001125,0.010000004,62.977326,0
1901.9167,0.4597067,79.352833,0.037828196,-4.7843568e-11,0,0,0.014075583,0.010010161,0.010000004,61.999896,0.054958456
1902,0.39649819,78.067876,0.60600698,0,0,0,0.014129656,0.010009162,0.010000004,60.996354,0
1902.0833,0.34159844,76.821364,0.036478676,-1.2082262e-14,0,0,0.014180966,0.010008303,0.010000003,60.022783,0
1902.1667,0.29508088,75.526193,0.030553959,-7.6472115e-05,0,0,0.014228256,0.010007524,0.010000003,59.011139,0
1902.25,0.25422784,74.235432,0.026262181,-8.5452495e-05,0,0,0.014273344,0.010006796,0.010000003,58.002927,0
1902.3333,0.22141446,73.870488,0.030413538,0.66932142,0,0,0.014312414,0.010006138,0.010000003,141.53808,0.15731477
1902.4167,0.50804316,82.830675,0.034965407,3.2502174,8.5618667,0.17351109,0.01044509,0.010005579,0.010000004,129.19996,6.1309602
1902.5,0.65658754,85.229628,0.035096273,2.8944827,8.4183268,0.28711235,0.014580522,0.01000645,0.010000004,105.18744,1.4428453
1902.5833,0.66652877,86.373724,0.035958104,2.1988866,6.4100564,0.34305361,0.02505048,0.010008824,0.010000004,97.578194,1.3495519
1902.6667,0.66767674,86.588569,0.034216166,1.4824363,4.588013,0.23992054,0.035790015,0.010009069,0.010000004,89.906184,1.2607934
1902.75,0.65054774,86.189002,0.030752629,0.50951908,1.3354583,0.06547224,0.041884296,0.010008196,0.010000003,80.122811,0.68073452
1902.8333,0.57354465,85.7668,0.029316727,0.00010936787,0,0,0.042468023,0.010007403,0.010000003,67.010553,0
1902.9167,0.49258262,85.010439,0.025426188,0.00030651795,0,0,0.042684972,0.010006686,0.010000003,66.420293,0.053622133
1903,0.4267967,84.243171,0.019665586,0.01206781,0,0,0.04286626,0.010006028,0.010000003,65.821469,0
1903.0833,0.36969504,83.50841,0.01508473,0.0090598581,0,0,0.043018609,0.010005463,0.010000002,65.247966,0
1903.1667,0.32056196,82.577586,0.012918946,0.002758996,0,0,0.043159544,0.010004951,0.010000002,64.521173,0
1903.25,0.27621482,81.097282,0.012085931,-0.00015588609,0,0,0.043311253,0.010004471,0.010000002,63.364895,0
1903.3333,0.24203595,81.40184,0.01265432,0.60921421,0,0,0.043429583,0.010004038,0.010000002,120.32671,0.14112052
1903.4167,0.44249976,90.615764,0.013932562,2.5865779,6.4176713,0.2185012,0.019313904,0.010003655,0.010000004,178.00167,6.4023338
1903.5,0.71304996,93.182027,0.013230447,2.9840725,9.0041985,0.43560015,0.011579269,0.010006863,0.010000003,112.57759,1.6712711
1903.5833,0.72067167,93.738243,0.013329873,2.4526989,7.8189368,0.36371287,0.017500941,0.010017394,0.010000004,106.57364,1.4597313
1903.6667,0.71870018,93.303293,0.012847207,1.5485978,4.9326053,0.20316316,0.022923706,0.010016836,0.010000004,96.546251,1.344477
1903.75,0.68636198,92.665203,0.011462025,0.33996607,1.0067511,0.044456579,0.028352898,0.010015238,0.010000004,78.933285,0.39037798
1903.8333,0.5924424,91.910996,0.010532141,0.0042619686,0,0,0.028312141,0.010013763,0.010000004,71.810796,0
1903.9167,0.5082956,90.797983,0.0097693121,0.0015953783,0,0,0.028542634,0.01001243,0.010000003,70.94191,0.13372802
1904,0.44452582,89.445993,0.0080048544,-2.049652e-10,0,0,0.028760375,0.010011208,0.010000003,69.886179,0
1904.0833,0.38322358,88.054389,0.0082797529,-5.6805125e-10,0,0,0.028934944,0.010010156,0.010000003,68.7994,0
1904.1667,0.33135383,86.693496,0.0085016731,-0.00010998339,0,0,0.029097823,0.010009204,0.010000003,67.736569,0
1904.25,0.2858261,85.344985,0.0089313136,-0.00028949568,0,0,0.029256113,0.010008313,0.010000002,66.683387,0
1904.3333,0.24976378,84.702961,0.010986947,0.63325699,0,0,0.029397899,0.010007508,0.010000002,140.86277,0.25777689
1904.4167,0.53268997,94.379559,0.013747287,3.0831841,7.8749339,0.19293627,0.01325192,0.010007074,0.010000004,152.39124,6.9251237
1904.5,0.74964075,96.307524,0.012895737,2.8975973,8.834759,0.30567348,0.0149746,0.010020495,0.010000004,112.70999,1.5810174
1904.5833,0.75488328,97.184531,0.012486508,2.3156465,7.2746249,0.31152703,0.028511193,0.010032168,0.010000007,106.57122,1.6178968
1904.6667,0.75943035,97.077765,0.012732049,1.5663615,5.1198448,0.2412239,0.038230408,0.010046213,0.010000011,99.158321,1.4870937
1904.75,0.71997149,96.349813,0.011100117,0.33878752,0.63825268,0.041406464,0.044822931,0.010046509,0.01000001,83.024318,0.533479
1904.8333,0.62316505,95.452532,0.0095779607,0.0062717895,0,0,0.045343369,0.010042006,0.010000009,74.581302,0
1904.9167,0.53215778,94.001688,0.0080420729,-1.1112146e-24,0,0,0.045658,0.01003794,0.010000008,73.448223,0.13432022
1905,0.46323103,92.343226,0.0082002226,-3.760414e-07,0,0,0.046078075,0.01003421,0.010000007,72.152744,0
1905.0833,0.39845821,90.863846,0.0085304668,-2.3781012e-09,0,0,0.046330266,0.010030998,0.010000006,70.997236,0
1905.1667,0.34363772,89.402072,0.0086150402,-1.3590128e-05,0,0,0.046561275,0.010028093,0.010000006,69.855439,0
1905.25,0.29552233,87.824047,0.0088525955,-4.7881938e-07,0,0,0.046780568,0.010025372,0.010000005,68.622751,0
1905.3333,0.25560451,86.502425,0.010530788,0.3415973,0,0,0.046979114,0.010022916,0.010000005,99.647627,0.10446079
1905.4167,0.48639954,94.729818,0.012862201,3.0990764,8.4491684,0.21753049,0.026352914,0.010020928,0.010000006,179.83252,6.7941447
1905.5,0.7548923,96.968286,0.012433959,2.9442381,8.9907134,0.3560336,0.027695175,0.01012192,0.010000012,113.89559,1.8827645
1905.5833,0.78559649,98.092638,0.012416956,2.39503,7.4526665,0.3950423,0.039342724,0.01029099,0.010000064,107.14129,2.4616784
1905.6667,0.75523567,98.010227,0.012196612,1.3502496,4.4102183,0.23715367,0.048494969,0.010344439,0.0100001,97.823299,1.429059
1905.75,0.73863083,97.69877,0.01108943,0.69369475,1.0118445,0.059691453,0.057443134,0.010318799,0.010000098,96.430515,1.2711347
1905.8333,0.67799306,97.629346,0.010576583,0.04569961,0,0,0.058026336,0.010287968,0.010000088,76.479988,0.0013836873
1905.9167,0.58221386,96.759088,0.010692706,6.8767125e-05,0,0,0.058423903,0.010260101,0.010000079,75.600956,0.28712928
1906,0.52059907,95.839053,0.010596232,0.00016442318,0,0,0.058765855,0.010234533,0.010000071,74.882804,0
1906.0833,0.44999926,94.963066,0.010507799,0.047436057,0,0,0.058998615,0.010212522,0.010000065,74.199034,0
1906.1667,0.38991304,94.043739,0.010353733,0.019011822,0,0,0.059199341,0.010192608,0.010000058,73.48133,0
1906.25,0.33687236,92.811503,0.010216153,0.087352842,0,0,0.059377793,0.010173958,0.010000053,72.519312,0
1906.3333,0.29263768,93.131579,0.010469694,0.4999413,0,0,0.059526514,0.010157123,0.010000048,123.89843,0.089240189
1906.4167,0.42602306,97.093761,0.010782427,1.6655995,3.9757331,0.20549205,0.032565121,0.01014191,0.010000044,124.78809,5.6178323
1906.5,0.71103487,97.565435,0.010882376,3.062504,9.9975265,0.62160024,0.013177531,0.010129842,0.010000039,111.84324,1.9646389
1906.5833,0.72076853,96.755743,0.0087705953,2.2065684,7.4893371,0.46018647,0.02704493,0.010120317,0.010000037,104.14579,1.4204062
1906.6667,0.7197269,96.264303,0.0072485344,1.5493645,5.4179488,0.32593714,0.032757103,0.010111837,0.010000053,97.336815,1.3378456
1906.75,0.7127857,95.740102,0.0055019627,0.64717143,2.2398915,0.14158428,0.040385917,0.010101484,0.01000005,89.407032,1.2334585
1906.8333,0.66127809,94.773404,0.0035898869,0.06236143,0.017818054,0.0016262488,0.044565629,0.010091656,0.010000045,75.273678,0.099176381
1906.9167,0.56657341,93.321234,0.0023318313,-2.211524e-07,0,0,0.044836286,0.010082784,0.010000041,72.913064,0.33226715
1907,0.50832442,91.621198,0.0022310857,-2.4505171e-13,0,0,0.045225605,0.010074645,0.010000037,71.585353,0
1907.0833,0.43740906,90.015501,0.0022721486,-1.6830068e-08,0,0,0.045520037,0.010067638,0.010000033,70.331294,0
1907.1667,0.377399,88.651456,0.0023577989,-8.074684e-07,0,0,0.045791395,0.010061299,0.010000031,69.266047,0
1907.25,0.32463737,86.74138,0.0025572942,-2.3756437e-05,0,0,0.046050895,0.010055363,0.010000028,67.774011,0
1907.3333,0.28012547,85.145772,0.0029382075,0.0083100307,0,0,0.046290278,0.010050004,0.010000025,66.589275,3.0116255e-07
1907.4167,0.25033549,86.435482,0.0035985317,0.72606947,0.71281733,0.035262614,0.033913638,0.010045162,0.010000022,125.8748,0.35497405
1907.5,0.50618389,90.229958,0.004672878,2.2445403,7.3556811,0.23800556,0.011002665,0.010040798,0.01000002,112.07121,5.8083943
1907.5833,0.67812362,91.806322,0.004067203,2.1655333,7.1140208,0.28602694,0.020194609,0.010037286,0.010000018,99.883937,1.3802946
1907.6667,0.68057317,92.044301,0.0033263681,1.3811281,4.5247298,0.21707298,0.030532381,0.010039718,0.010000017,92.940359,1.2949819
1907.75,0.656922,91.234587,0.0020686921,0.34383995,0.53780152,0.037541387,0.035588097,0.010038171,0.010000016,77.763535,0.51178185
1907.8333,0.56918792,90.197429,0.0012789513,0.005176835,0,0,0.036058806,0.010034475,0.010000014,70.474262,0
1907.9167,0.48773378,88.722721,0.0011155753,0,0,0,0.036318462,0.010031139,0.010000013,69.322514,0.61717101
1908,0.46266583,87.219834,0.0010633219,-1.2480097e-06,0,0,0.036530767,0.010028077,0.010000012,68.148625,0
1908.0833,0.39784223,85.589483,0.0012906851,-1.3017475e-09,0,0,0.036759753,0.010025442,0.01000001,66.875099,0
1908.1667,0.34296146,84.060058,0.0014600257,-4.3856578e-05,0,0,0.036971532,0.010023057,0.010000009,65.680413,0
1908.25,0.29428594,81.763282,0.0017045244,-5.2487868e-06,0,0,0.037121788,0.010020824,0.010000008,63.88595,0
1908.3333,0.28953044,81.244595,0.0031269209,1.0903868,0,0,0.037173305,0.010018809,0.010000009,100.8363,2.7046603
1908.4167,0.63244451,83.384044,0.0035042828,2.8206156,8.4765966,0.20374041,0.016968703,0.010018571,0.010000024,90.185321,3.6125036
1908.5,0.80983498,85.315399,0.0033487598,2.8577568,9.2619457,0.3191639,0.021126242,0.010229092,0.010000309,99.295168,6.2946969
1908.5833,1.1265295,86.426638,0.0016805717,1.9707795,6.5735348,0.30051028,0.03555822,0.011297271,0.01000045,92.412126,4.8257468
1908.6667,1.1974869,86.453751,0.0013995734,1.3929084,4.6890827,0.27055659,0.044805858,0.012594828,0.010000406,88.046221,3.7788282
1908.75,1.2734195,86.146243,0.0010006314,0.43562735,1.0321105,0.081256688,0.053819656,0.014200569,0.010000367,76.303885,2.6775046
1908.8333,1.202165,85.373767,0.00057857734,0.012486876,0,0,0.05482642,0.016220788,0.010000331,68.090435,1.4038941
1908.9167,1.06854,84.255077,0.00061792904,0,0,0,0.054102965,0.017905962,0.010000299,66.096306,0.26566581
1909,0.58952963,83.020285,0.003310509,-6.0070107e-08,0,0,0.052049726,0.018476488,0.01000027,64.864423,0
1909.0833,0.38511492,81.87326,0.0018904443,-4.041999e-06,0,0,0.051795334,0.017769897,0.010000245,63.968767,0
1909.1667,0.33364684,80.699615,0.0019521147,-3.5845085e-05,0,0,0.05169864,0.017042266,0.010000221,63.052258,0
1909.25,0.28863165,79.460867,0.0022616775,-0.00011104939,0,0,0.051620211,0.016360795,0.0100002,62.084842,0
1909.3333,0.25349541,78.879721,0.0034172968,0.6267603,0,0,0.051566847,0.015745576,0.01000018,126.64125,0.28512676
1909.4167,0.50097168,89.509033,0.0043480475,2.9083957,7.390383,0.23267854,0.048621979,0.015189887,0.010000166,172.23534,7.5228905
1909.5,1.078425,92.022955,0.0021406333,2.7533343,8.3366364,0.41416161,0.057668243,0.014778937,0.01000015,107.27263,8.5338618
1909.5833,1.4506223,93.361393,0.0014088895,2.3998389,7.3265192,0.47273209,0.07366918,0.015251254,0.010000137,105.2343,6.821823
1909.6667,1.5951282,93.885936,0.0011295389,1.6339648,5.0247629,0.32453597,0.092043653,0.016741876,0.010000144,97.378983,6.0130783
1909.75,1.6952846,93.880385,0.00072533271,0.37728314,0.6408164,0.048639865,0.10657303,0.018435728,0.010000204,85.184124,3.0288282
1909.8333,1.3785171,93.491443,0.00066544424,0.014821896,0,0,0.10791256,0.019485001,0.01000021,74.417726,1.1376576
