year,froot_gCm2,leaf_gCm2,p_uptake_demand_ratio,gpp_pft7_gCm2day,gpp_pft9_gCm2day,gpp_pft10_gCm2day,l2fr_site,l2fr_canopy,l2fr_ustory,leaf_alloc_gCm2yr,froot_alloc_gCm2yr
1901,43.199748,0,6.3665225e-06,0,0,0,3.4274294,5.797802,1.3159266,0,8.9556863
1901.0833,41.993659,0,6.5705781e-06,0,0,0,3.4803061,5.5655885,1.1952535,0,8.3532314
1901.1667,40.479247,0,6.8278068e-06,0,0,0,3.5211179,5.3518672,1.0852798,0,3.8090821
1901.25,39.059248,2.0336602,6.7625647e-06,0,0,0,3.5249791,5.1515832,0.98227835,92.354097,21.837856
1901.3333,37.883963,7.7609154,6.1599471e-06,0,-3.873666e-07,0,3.2725265,4.9674158,0.88910896,0.19424713,0.56861611
1901.4167,32.290354,8.1417393,7.4828067e-06,0.019977818,0.016949679,0,2.689055,4.777935,0.80498499,0.76972543,0.59481317
1901.5,24.245044,13.336376,1.1188429e-05,0.84074136,1.7413897,0.7749984,1.788884,4.551352,0.72934926,92.709924,107.46754
1901.5833,24.154412,17.034736,1.1933775e-05,0.81580768,1.8958666,1.0556154,1.3841587,4.2784152,0.66919273,1.4973898,21.251762
1901.6667,15.36184,17.601652,1.3485281e-05,0.52806366,1.2725021,0.71436177,1.284698,3.9817238,0.64876211,0.66973523,12.461735
1901.75,7.9033086,8.7614022,3.4084056e-05,0.097668229,0.23116948,0.12102435,1.6986965,3.6632018,0.6636948,0.34041573,4.6589991
1901.8333,7.0762574,0,3.0011874e-05,0,0,0,1.6954353,3.3560069,0.69032639,0,0.63106443
1901.9167,6.7719831,0,2.4411785e-05,0,0,0,1.638991,3.0791259,0.75120467,0,2.7140544
1902,6.6398205,0,2.5316327e-05,0,0,0,1.6887201,2.8252702,0.81859493,0,1.0674202
1902.0833,6.379548,0,2.442233e-05,0,0,0,1.726961,2.6067765,0.87660879,0,1.029048
1902.1667,6.1322735,0,2.2538845e-05,0,0,0,1.7568778,2.4091606,0.92910379,0,1.3099791
1902.25,6.0544969,3.8045368,2.1904971e-05,0,0,0,1.7866899,2.2241445,0.97853678,173.16772,5.7618647
1902.3333,6.708499,14.373923,1.7139824e-05,0.0082537729,0.014264542,0,1.8392283,2.0578637,1.0458603,0.2400783,0.66774928
1902.4167,7.5010485,15.591809,2.0397838e-05,0.82591623,1.9127775,0.63288262,1.7491091,1.9072896,1.136868,14.67051,22.465461
1902.5,6.3910536,16.7857,2.8184051e-05,1.0099865,2.3146977,1.2421894,2.010031,1.7603326,1.2225572,2.0052196,5.8885004
1902.5833,5.4779085,17.468344,2.5905078e-05,0.81257783,1.8859027,1.0310607,2.946454,1.6128979,1.2909786,0.6201769,4.94629
1902.6667,6.5159961,18.098576,1.5070478e-05,0.54975809,1.2959739,0.70110786,3.9678996,1.4831244,1.3598934,0.32336169,5.4191655
1902.75,8.0022663,11.393987,1.9615751e-05,0.12581991,0.25980806,0.1282084,5.034821,1.3721352,1.4074036,0.18380885,10.764
1902.8333,8.3937477,0,3.6971865e-05,1.4779192e-23,0,0,5.2105269,1.2754213,1.4296505,0,1.4529977
1902.9167,8.3619589,0,4.0342336e-05,7.097196e-25,0,0,5.186626,1.1885555,1.4494598,0,3.323638
1903,8.4752319,0,6.9865193e-05,7.1240072e-05,0,0,5.24019,1.1090009,1.468238,0,1.2291815
1903.0833,8.4221903,0,3.3604658e-05,0,0,0,5.2959085,1.0406203,1.4848571,0,1.2333595
1903.1667,8.3740288,0,3.3951557e-05,0,0,0,5.3438034,0.97884154,1.5002775,0,1.2363939
1903.25,8.5637653,4.9904096,2.8473221e-05,0,1.6753619e-06,0,5.4065156,0.92117602,1.5148724,226.73144,17.741104
1903.3333,14.151048,19.291563,7.4880372e-06,6.7729365e-07,0.0013585385,0,4.6139483,0.8815468,1.5145044,2.8974431,111.05396
1903.4167,28.496237,20.127321,4.3316691e-06,0.37182361,0.88072602,0.15452597,3.2956841,0.89663559,1.4515578,2.5192738,264.87094
1903.5,64.076498,21.098146,2.0555999e-06,1.2754805,3.1044374,0.83338551,3.0660362,1.024163,1.3298527,3.5854585,621.73155
1903.5833,129.47384,21.847993,1.2729508e-06,1.0945782,2.6574408,1.0556226,6.7202139,1.3939201,1.2430799,0.25451588,734.63257
1903.6667,165.87877,22.467669,1.0205372e-06,0.70203716,1.7185436,0.74911623,13.981769,2.1982164,1.2073007,0.11786561,296.56884
1903.75,176.89519,8.8589108,1.5250043e-06,0.11889636,0.27716829,0.11552528,21.629547,3.6183357,1.1893426,0.043851192,35.055086
1903.8333,174.28304,0,1.9346519e-06,6.5397609e-07,0,0,22.284378,5.2320342,1.1765505,0,2.3707251
1903.9167,171.32206,0,1.7730123e-06,0.00077056526,0,0,22.290308,6.6919188,1.1648246,0,6.7400691
1904,165.11957,0,1.5273336e-06,0,0,0,22.458025,8.0125065,1.1523054,0,2.228532
1904.0833,150.56606,0,1.5438924e-06,0,0,0,22.509163,9.0811958,1.1232823,0,2.0506402
1904.1667,131.91842,0,1.6902327e-06,0,0,0,22.366381,9.9739065,1.0430206,0,1.9752815
1904.25,123.63341,1.6708286,1.7863631e-06,0,0,0,22.167568,10.795804,0.96120888,75.288943,15.415017
1904.3333,118.69229,6.5795798,1.658139e-06,0,-0.0003511435,0,20.070511,11.460877,0.89282036,0.21471042,35.030588
1904.4167,116.2139,7.867163,1.8266917e-06,0.90120126,0.95805199,0.56633451,18.657433,11.917217,0.84258318,27.795943,38.928953
1904.5,117.27028,12.487635,1.6713891e-06,1.3044295,1.970323,1.3050295,19.421368,12.377478,0.82717717,74.932199,44.109947
1904.5833,124.26183,19.020682,1.2620644e-06,1.0571917,2.1444526,1.126593,22.075314,13.081438,0.82840991,24.969757,169.73533
1904.6667,140.19723,19.788228,8.9100098e-07,0.72980702,1.5064498,0.80142909,26.616928,14.203268,0.84169739,0.036075342,194.22148
1904.75,149.05226,9.1290884,1.1119266e-06,0.056905103,0.098767634,0.059400465,31.716915,15.917452,0.86584443,0.010560035,62.187903
1904.8333,148.19646,0,1.7951788e-06,0.0007181659,0,0,32.166679,17.828638,0.8931132,0,7.6451506
1904.9167,145.26325,0,1.6612488e-06,5.2146719e-08,0,0,32.338879,19.552179,0.91829032,0,22.042452
1905,139.25397,0,1.6012647e-06,0,0,0,32.381886,21.03919,0.94531631,0,5.6429512
1905.0833,131.91663,0,1.6815795e-06,0,0,0,32.519482,22.160654,0.97994006,0,5.0118903
1905.1667,124.27692,0,1.7431249e-06,0,0,0,32.512089,22.997114,1.059607,0,5.2149331
1905.25,116.91606,1.2156564,1.7385714e-06,0,-2.9123707e-09,0,31.753965,23.645014,1.2918739,54.619823,10.458187
1905.3333,111.28443,4.8397067,1.650601e-06,0.0059425832,0.001585997,0,28.887177,24.142424,1.5008411,0.2418323,0.64312759
1905.4167,109.16626,7.3512984,1.7520392e-06,0.84892416,0.96994955,0.56385363,27.005909,24.451708,1.6013752,68.651825,90.300419
1905.5,126.25167,14.375692,1.0559985e-06,1.302898,2.1816382,1.3088388,24.473675,24.730326,1.6212122,75.099346,296.15004
1905.5833,153.2069,18.415274,5.7821165e-07,1.0560859,2.1016457,1.167307,25.393997,25.266058,1.6221375,0.5304939,351.53302
1905.6667,172.72194,18.919323,4.8094364e-07,0.62260813,1.2480717,0.72107893,29.942116,26.334723,1.6232696,0.034651814,171.70449
1905.75,179.60785,8.0733756,4.4201551e-07,0.14427533,0.24156035,0.12358531,35.203049,28.182911,1.6279408,0.01069526,28.086892
1905.8333,176.95476,0,4.457045e-07,0.00027647185,0,0,35.618557,30.294317,1.6334964,0,2.6337682
1905.9167,172.62374,0,4.5949852e-07,0,0,0,35.760956,32.201611,1.6385427,0,3.5243736
1906,165.30909,0,4.8242646e-07,0,0,0,35.646114,33.927402,1.6432024,0,0.90049933
1906.0833,158.42625,0,5.7570242e-07,0,0,0,35.575657,35.385101,1.6472516,0,0.86911885
1906.1667,150.95383,0,8.8646084e-07,0,0,0,35.500313,36.677601,1.6509566,0,0.82714319
1906.25,145.13755,0.69945055,1.0026571e-06,0,0,0,34.761978,37.863773,1.65447,30.989861,2.8726964
1906.3333,81.388056,3.0571474,1.0284468e-06,0,0.00014804509,0,14.618365,37.655434,1.6540803,0.047201378,1.209637
1906.4167,77.925585,3.7073644,1.1729322e-06,0.032384091,0.010377977,0,12.422554,35.957829,1.6308274,0.1373766,0.89962518
