year,pft7_hydraulic,pft7_cstarvation,pft7_fire,pft9_hydraulic,pft9_cstarvation,pft9_fire,pft10_hydraulic,pft10_cstarvation,pft10_fire
1901,212.7742,0.059853721,0,1.9575302,0,0,3.7295515,0.13124942,0
1901.0833,431.4317,0.067897302,0,3.9485681,0,0,7.2836268,0.12081188,0
1901.1667,422.52037,0.078777806,0,3.8196155,0,0,6.7309717,0.11124839,0
1901.25,414.15614,0.09049303,0,3.7091531,0,0,6.27646,0.33885693,0
1901.3333,249.65784,0.10281622,0,2.2969251,0,0,4.0744288,0.63749214,0
1901.4167,0,0.098058561,0,0,0,0,0,0.60616259,0
1901.5,0,0.05849159,0,0,0,0,0,0.4684387,0
1901.5833,0,0.020746784,0,0,0,0,0,0.36466709,0
1901.6667,0,0.0016233923,0,0,0,0,0,0.30817688,0
1901.75,0,0,0,0,0,0,0,0.18872585,0
1901.8333,360.88657,0,0,2.9333041,0,0,6.4049426,0.1831294,0
1901.9167,488.81263,0.00068100603,0,4.0403468,0,0,8.4446109,0.16514038,0
1902,467.24376,0.021619205,0,3.8562043,0,0,5.7148716,0.1293027,0
1902.0833,442.80643,0.023132286,0,3.7090887,0,0,5.2290329,0.11899142,0
1902.1667,427.03694,0.026134082,0,3.5767723,0,0,4.783416,0.10955135,0
1902.25,418.37408,0.030617007,0,3.4616782,0,0,4.3787496,0.19684057,0
1902.3333,265.14154,0.035212574,0,2.2427598,0,0,2.9990624,0.54202111,0
1902.4167,0,0.023086751,0,0,0,0,0,0.48142793,0
1902.5,0,0.0036190678,0,0,0,0,0,0.33553785,0
1902.5833,0,0,0,0,0,0,0,0.25055173,0
1902.6667,0,0,0,0,0,0,0,0.21002732,0
1902.75,0,0,0,0,0,0,0,0.125692,0
1902.8333,0,0,0,0,0,0,0,0.12422151,0
1902.9167,0,0,0,0,0,0,0,0.12115304,0
1903,0,0,0,0,0,0,0,0.099102575,0
1903.0833,0,0,0,0,0,0,0,0.096877508,0
1903.1667,0,0,0,0,0,0,0,0.095675694,0
1903.25,0,0,0,0,0,0,0,0.19899315,0
1903.3333,0,0,0,0,0,0,0,0.47200697,0
1903.4167,0,0,0,0,0,0,0,0.43654573,0
1903.5,0,0,0,0,0,0,0,0.38043933,0
1903.5833,0,0,0,0,0,0,0,0.34579844,0
1903.6667,0,0,0,0,0,0,0,0.30916413,0
1903.75,0,0,0,0,0,0,0,0.18385223,0
1903.8333,0,0,0,0,0,0,0,0.18183343,0
1903.9167,132.46515,0,0,0.68952734,0,0,1.7089475,0.17877715,0
1904,563.92199,0,0,2.9059534,0,0,7.2251419,0.1473028,0
1904.0833,526.78154,0,0,2.7838937,0,0,6.6074673,0.13200134,0
1904.1667,475.19286,0,0,2.6571945,0,0,6.0403728,0.11711896,0
1904.25,461.23038,0,0,2.5695862,0,0,5.6215545,0.28184469,0
1904.3333,350.42521,7.7371184e-09,0,2.0312648,0,0,4.6301637,0.80775749,0
1904.4167,0,0,0,0,0,0,0,0.69115879,0
1904.5,0,0,0,0,0,0,0,0.52092058,0
1904.5833,0,0,0,0,0,0,0,0.38679459,0
1904.6667,0,0,0,0,0,0,0,0.30481212,0
1904.75,0,0,0,0,0,0,0,0.1706491,0
1904.8333,174.37164,0,0,1.0229053,0,0,2.9127031,0.16503059,0
1904.9167,568.4745,0,0,3.328665,0,0,9.1251067,0.15265507,0
1905,532.84887,0,0,3.1935986,0,0,8.3460618,0.10054565,0
1905.0833,508.67485,0.0024387298,0,3.0777831,0,0,7.664998,0.091538077,0
1905.1667,492.71616,0.03114245,0,2.9727401,0,0,7.0403998,0.083687985,0
1905.25,478.44186,0.081749332,0,2.8768447,0,0,6.4822001,0.2932214,0
1905.3333,347.73889,0.17356122,0,2.1697987,0,0,4.9824137,0.80051788,0
1905.4167,0,0.04446703,0,0,0,0,0,0.67462104,0
1905.5,0,0,0,0,0,0,0,0.55308315,0
1905.5833,0,0,0,0,0,0,0,0.43140673,0
1905.6667,0,0,0,0,0,0,0,0.23594407,0
1905.75,0,0,0,0,0,0,0,0.10803483,0
1905.8333,0,0,0,0,0,0,0,0.10112924,0
1905.9167,0,0.00074745098,0,0,0,0,0,0.084403597,0
1906,0,0.027723165,0,0,0,0,0,0.006918496,0
1906.0833,0,0.034769303,0,0,0,0,0,0.0067326824,0
1906.1667,0,0.038303593,0,0,0,0,0,0.0065865765,0
1906.25,0,0.038441897,0,0,0,0,0,0.15874205,0
1906.3333,0,0.028169304,0,0,0,0,0,0.56728844,0
1906.4167,0,0.010239432,0,0,0,0,0,0.53846684,0
1906.5,0,0.00020693534,0,0,0,0,0,0.44374818,0
1906.5833,0,0,0,0,0,0,0,0.34422194,0
1906.6667,0,0,0,0,0,0,0,0.26129038,0
1906.75,0,0,0,0,0,0,0,0.14580929,0
1906.8333,61.648495,0,0,0.37569499,0,0,0.98596607,0.14116667,0
1906.9167,196.62647,0.00069902409,0,1.197449,0,0,3.1157969,0.13442047,0
