final_rank,parameter,param_type,combined_rank,rank_PFT7,rank_PFT9,rank_PFT10,mu_star_PFT7,mu_star_PFT9,mu_star_PFT10
1,phen_gddthresh_c,Phenology,1.0,1.0,1.0,1.0,0.6898168880223637,0.11977683266803335,0.06530119683184112
2,stoich_phos_leaf_7,P,13.333333333333334,4.0,13.0,23.0,0.2719458280402061,0.07043349601643835,0.02580372900842126
3,km_nh4_7,N,23.0,26.0,27.0,16.0,0.15322609957742375,0.0553791520494275,0.030988818664060034
4,recruit_height_min_10,Allometry,24.333333333333332,29.0,6.0,38.0,0.1506446199954482,0.08560334259992083,0.021722058977460157
5,alloc_storage_cushion_9,Allocation,26.0,46.0,5.0,27.0,0.10999233735932572,0.09804673846050418,0.02472621478150279
6,allom_d2bl1_7,Allometry,26.0,14.0,43.0,21.0,0.21364860520287918,0.042780333023136774,0.026943904578286503
7,allom_dbh_maxheight_7,Allometry,28.0,34.0,45.0,5.0,0.1420209989246179,0.0407429947620924,0.04471954518725137
8,mort_scalar_cstarvation_10,Mortality,28.333333333333332,45.0,33.0,7.0,0.11092188616870136,0.05080992664122182,0.03667321876626718
9,recruit_seed_supplement_10,Other,28.666666666666668,53.0,24.0,9.0,0.09805832755178727,0.05981665105032965,0.035627289753922965
10,phen_coldtemp,Phenology,30.0,59.0,7.0,24.0,0.09310244464764227,0.08339134033019475,0.025268669252475277
11,nitr_retrans_9,N,30.333333333333332,21.0,10.0,60.0,0.1708798558210896,0.07284485816885669,0.017559779095727167
12,recruit_height_min_7,Allometry,30.666666666666668,6.0,55.0,31.0,0.25679781402946805,0.03712573149822833,0.02355373383766972
13,microb_bio_10,Microbial,33.0,47.0,23.0,29.0,0.10714938992835797,0.061355933952556334,0.024088275437636652
14,frag_seed_decay_rate_7,Turnover,34.333333333333336,52.0,34.0,17.0,0.09885316047840235,0.0506315637732934,0.030045611275343324
15,leaf_vcmax25top_7,Allometry,36.0,82.0,22.0,4.0,0.064564869337093,0.061383890654269184,0.04621124459510708
16,nfix1_9,N,36.666666666666664,7.0,4.0,99.0,0.24861679598369826,0.10026253024307467,0.010883650402567087
17,nitr_store_ratio_7,N,39.333333333333336,19.0,14.0,85.0,0.1756048101164261,0.07018678926385584,0.012500177263370231
18,phos_retrans_9,P,39.666666666666664,24.0,37.0,58.0,0.15657043969845177,0.047878282472189906,0.01780036467274546
19,recruit_seed_supplement_9,Other,41.333333333333336,13.0,28.0,83.0,0.21874078615165293,0.054700070463857005,0.012673417687861642
20,maintresp_nonleaf_baserate,Other,42.0,23.0,69.0,34.0,0.1590333365043201,0.03326454232481917,0.022952044967567333
21,alloc_storage_cushion_10,Allocation,42.666666666666664,30.0,80.0,18.0,0.14917639905901073,0.02990881149399383,0.029793268422387983
22,mort_scalar_hydrfailure_7,Mortality,43.333333333333336,54.0,26.0,50.0,0.09776184336120101,0.05916743607213727,0.019383695340807663
23,vmax_p_9,P,43.333333333333336,92.0,25.0,13.0,0.05450863189644298,0.05931040542499917,0.033454333261130245
24,l2fr_ini_9,Allocation,43.666666666666664,64.0,3.0,64.0,0.083570881413806,0.10155018012252168,0.01558302691523432
25,alloc_storage_cushion_7,Allocation,45.666666666666664,2.0,2.0,133.0,0.4009681729713824,0.10447473152445577,0.007298865463758343
