case_num,source_rank,source_cost,status,r_src_cost,r_tgt_cost,PFT7_leaf_src,PFT7_leaf_tgt,PFT7_leaf_delta,PFT7_leaf_rel_change,PFT7_fineroot_src,PFT7_fineroot_tgt,PFT7_fineroot_delta,PFT7_fineroot_rel_change,PFT9_leaf_src,PFT9_leaf_tgt,PFT9_leaf_delta,PFT9_leaf_rel_change,PFT9_fineroot_src,PFT9_fineroot_tgt,PFT9_fineroot_delta,PFT9_fineroot_rel_change,PFT10_leaf_src,PFT10_leaf_tgt,PFT10_leaf_delta,PFT10_leaf_rel_change,PFT10_fineroot_src,PFT10_fineroot_tgt,PFT10_fineroot_delta,PFT10_fineroot_rel_change
2939,1,0.4691,ok,0.4691,0.9999,29.291247949004173,0.0026906566290563205,-29.288557292375117,-0.9999081412770893,108.19211602210999,0.0450411498604808,-108.1470748722495,-0.9995836928649101,90.01829475164413,0.0,-90.01829475164413,-1.0,192.4160271883011,0.0,-192.4160271883011,-1.0,18.467456102371216,0.0,-18.467456102371216,-1.0,123.50951135158539,0.0,-123.50951135158539,-1.0
86,2,0.5630,ok,0.563,0.5531,31.01477585732937,27.91420742869377,-3.1005684286355972,-0.09997068632378574,150.65200626850128,127.27105617523193,-23.380950093269348,-0.1551983984308737,123.15572798252106,97.04706817865372,-26.10865980386734,-0.2119971212997322,224.2557555437088,167.0433133840561,-57.21244215965271,-0.2551213993190095,4.679068457335234,9.927588514983654,5.24852005764842,1.1217019168463918,22.641118615865707,17.83338375389576,-4.807734861969948,-0.2123452883905188
82,3,0.5675,ok,0.5675,0.673,26.524245738983154,12.13112659752369,-14.393119141459465,-0.5426400917521904,87.5554233789444,33.85142609477043,-53.703997284173965,-0.6133714533220894,154.2452722787857,66.42129272222519,-87.82397955656052,-0.5693787450277624,239.32506144046783,114.08855766057968,-125.23650377988815,-0.5232903859967911,12.440192513167858,16.921391710639,4.481199197471142,0.36021944135734424,35.28435528278351,38.425181061029434,3.140825778245926,0.08901468520748193
83,4,0.5783,ok,0.5783,0.639,15.880083665251732,13.901814818382263,-1.9782688468694687,-0.1245754675208828,90.34664928913116,58.249346911907196,-32.09730237722397,-0.3552683207376604,118.52482706308365,67.68880784511566,-50.83601921796799,-0.42890608219078885,200.21678507328033,113.58439922332764,-86.6323858499527,-0.43269292241529506,10.138731449842453,16.491077840328217,6.3523463904857635,0.6265425237774173,24.989083409309387,37.371519953012466,12.38243654370308,0.495513834616685
4568,5,0.5906,ok,0.5906,1.0,17.636409029364586,1.678341132738126e-06,-17.636407351023454,-0.9999999048365725,87.22377568483353,0.05046860678703524,-87.17330707804649,-0.9994213893357541,82.74240046739578,0.0,-82.74240046739578,-1.0,194.6520209312439,3.43543110625788e-08,-194.65202089688958,-0.9999999998235091,14.591299928724766,0.0,-14.591299928724766,-1.0,5.489111877977848,0.0,-5.489111877977848,-1.0
320,6,0.5913,tgt_missing,0.5913,,16.865629702806473,,,,99.04539585113525,,,,82.06279575824738,,,,204.198956489563,,,,10.998079553246498,,,,12.295172549784184,,,
321,7,0.5913,tgt_missing,0.5913,,16.865629702806473,,,,99.04539585113525,,,,82.06279575824738,,,,204.198956489563,,,,10.998079553246498,,,,12.295172549784184,,,
1386,8,0.6013,ok,0.6013,0.8191,11.577538214623928,9.140619076788425,-2.4369191378355026,-0.2104868144384407,15.579866245388985,1.8401803681626916,-13.739685877226293,-0.881887280726347,31.177055090665817,171.31869494915009,140.14163985848427,4.495024929421305,191.86045229434967,347.90486097335815,156.04440867900848,0.8133224268626621,69.4570541381836,8.396179415285587,-61.060874722898006,-0.8791169663115638,119.47136372327805,5.5385855957865715,-113.93277812749147,-0.9536408941592468
1385,9,0.6013,ok,0.6013,0.8191,11.577538214623928,9.140619076788425,-2.4369191378355026,-0.2104868144384407,15.579866245388985,1.8401803681626916,-13.739685877226293,-0.881887280726347,31.177055090665817,171.31869494915009,140.14163985848427,4.495024929421305,191.86045229434967,347.90486097335815,156.04440867900848,0.8133224268626621,69.4570541381836,8.396179415285587,-61.060874722898006,-0.8791169663115638,119.47136372327805,5.5385855957865715,-113.93277812749147,-0.9536408941592468
4670,10,0.6016,ok,0.6016,2.6477,22.21336029469967,174.20795559883118,151.9945953041315,6.842485481154283,109.05341804027557,2.202265430241823,-106.85115261003375,-0.9798056267303012,125.4662424325943,4.743232857435942,-120.72300957515836,-0.9621951469536979,218.34442019462585,0.04845155490329489,-218.29596863972256,-0.9997780957495497,0.17101361299864948,0.0005725711957893509,-0.17044104180286013,-0.9966518969703665,0.17380186181981117,6.648581774015838e-05,-0.173735376002071,-0.9996174619935367
