year,froot_gCm2,leaf_gCm2,p_uptake_demand_ratio,gpp_pft7_gCm2day,gpp_pft9_gCm2day,gpp_pft10_gCm2day,l2fr_site,l2fr_canopy,l2fr_ustory,leaf_alloc_gCm2yr,froot_alloc_gCm2yr
1901,6.6988631,12.769954,2.332386e-06,0,0,0,3.4274294,0.69543338,0.15533362,10.865796,0.025938175
1901.0833,5.6721778,12.428624,2.626437e-06,0,0,0,3.4803061,0.69322956,0.1574589,10.574796,0.0001916727
1901.1667,4.7881505,11.971628,2.815488e-06,0,0,0,3.5211179,0.69111216,0.15719149,10.185681,0
1901.25,4.0330659,11.480339,3.0152883e-06,0,0,0,3.5249791,0.686894,0.15309872,9.7673798,0
1901.3333,3.4189471,10.994204,3.0037941e-06,0,-3.873666e-07,0,3.2725265,0.67796862,0.14369285,9.3532623,0
1901.4167,2.9874956,10.753138,3.4459429e-06,0.019977818,0.016949679,0,2.689055,0.66160268,0.13109535,10.559942,0.0025889106
1901.5,4.2730826,11.006615,4.0468976e-06,0.84074136,1.7413897,0.7749984,1.788884,0.63910878,0.11966345,12.658462,39.342998
1901.5833,6.3340338,11.375114,3.2414605e-06,0.81580768,1.8958666,1.0556154,1.3841587,0.62681067,0.11271406,11.046008,24.142516
1901.6667,7.3149642,11.780759,2.8432544e-06,0.52806366,1.2725021,0.71436177,1.284698,0.62466818,0.11043712,11.439642,22.986548
1901.75,7.9950904,12.207667,2.5338391e-06,0.097668229,0.23116948,0.12102435,1.6986965,0.62848336,0.11041754,11.854165,22.894593
1901.8333,8.519982,12.454012,2.5514091e-06,0,0,0,1.6954353,0.63567495,0.1111207,12.093436,25.372985
1901.9167,8.3604539,12.288275,2.7014012e-06,0,0,0,1.638991,0.64379156,0.11389799,10.911782,8.0350249
1902,6.8865106,11.930609,3.033264e-06,0,0,0,1.6887201,0.65424526,0.11798289,10.14998,0.056006364
1902.0833,5.7680104,11.541339,3.3777496e-06,0,0,0,1.726961,0.66373003,0.1219597,9.8184063,0.015397495
1902.1667,4.857725,11.138066,3.7138536e-06,0,0,0,1.7568778,0.67039734,0.12534985,9.4749561,0
