year,pft7_hydraulic,pft7_cstarvation,pft7_fire,pft9_hydraulic,pft9_cstarvation,pft9_fire,pft10_hydraulic,pft10_cstarvation,pft10_fire
1901,0,0,0,0,2.3949534,0,0,0,0
1901.0833,0,0,0,0,2.3120798,0,0,0,0
1901.1667,76.696887,0,0,6.5083567,2.2275853,0,4.2703117,0,0
1901.25,143.96622,0,0,12.442115,4.4067123,0,7.9721635,1.34017,0
1901.3333,80.898313,0,0,7.0532785,7.0808063,0,4.9376241,2.3533928,0
1901.4167,0,0,0,0,5.3392104,0,0,1.541768,0
1901.5,0,0,0,0,0.63188037,0,0,0.042010156,0
1901.5833,0,0,0,0,0.21473452,0,0,0,0
1901.6667,0,0,0,0,0.15762521,0,0,0,0
1901.75,0,0,0,0,0.14862424,0,0,0,0
1901.8333,170.62879,0,0,11.981044,0.14309277,0,7.2551765,0,0
1901.9167,223.29306,0,0,16.203459,0.13785316,0,9.4433832,0,0
1902,213.09359,0,0,16.046959,0.14070617,0,8.9408526,0,0
1902.0833,203.87753,0,0,15.900667,0.12304095,0,8.4871514,0,0
1902.1667,194.77124,0,0,15.752755,0.07223775,0,8.0046966,0,0
1902.25,184.80226,0,0,15.565457,4.2965948,0,7.1873053,0,0
1902.3333,119.0667,0,0,10.362088,7.4978621,0,4.5737642,0,0
1902.4167,0,0,0,0,2.4897902,0,0,0,0
1902.5,0,0,0,0,0.13034138,0,0,0,0
1902.5833,0,0,0,0,0.033864643,0,0,0,0
1902.6667,0,0,0,0,0.019223942,0,0,0,0
1902.75,0,0,0,0,0.018589572,0,0,0,0
1902.8333,0,0,0,0,0.018960135,0,0,0,0
1902.9167,0,0,0,0,0.02009452,0,0,0,0
1903,0,0,0,0,0.020576477,0,0,0,0
1903.0833,0,0,0,0,0.020395408,0,0,0,0
1903.1667,0,0,0,0,0.019770561,0,0,0,0
1903.25,0,0,0,0,0.20246845,0,0,0,0
1903.3333,0,0,0,0,0.28733758,0,0,0,0
1903.4167,0,0,0,0,0.16337735,0,0,0,0
1903.5,0,0,0,0,0.070885541,0,0,0,0
1903.5833,0,0,0,0,0.045279339,0,0,0,0
1903.6667,0,0,0,0,0.031750301,0,0,0,0
1903.75,0,0,0,0,0.027420022,0,0,0,0
1903.8333,36.345709,0,0,1.9094412,0.026570533,0,1.2398093,0,0
1903.9167,217.39242,0,0,11.517505,4.0521936,0,7.4386192,0,0
1904,338.51564,0,0,18.30452,19.01257,0,11.561677,0,0
1904.0833,315.15763,0,0,17.753426,30.619907,0,10.991865,0,0
1904.1667,293.33129,0,0,17.186045,38.40316,0,10.44593,0,0
1904.25,277.65068,0,0,16.582046,54.709146,0,10.382477,0,0
1904.3333,195.45069,0,0,11.873336,54.725034,0,7.9954281,0,0
1904.4167,0,0,0,0,34.169332,0,0,0,0
1904.5,0,0,0,0,2.9145222,0,0,0,0
1904.5833,0,0,0,0,0.051956355,0,0,0,0
1904.6667,0,0,0,0,0.033158532,0,0,0,0
1904.75,0,0,0,0,0.13618787,0,0,0,0
1904.8333,0,0,0,0,0.58465603,0,0,0,0
1904.9167,142.97682,0,0,6.3518846,2.0136069,0,3.9018376,0,0
1905,350.19486,0,0,16.101069,3.3825872,0,8.4516247,0,0
1905.0833,319.40273,0,0,15.570612,4.9411511,0,6.2760762,0,0
1905.1667,287.24948,0.0075354964,0,14.958071,6.1004276,0,5.2722955,0,0
1905.25,258.38025,2.6308445,0,14.298741,8.1373518,0,4.7872109,0,0
1905.3333,138.66695,13.389671,0,7.9606156,7.3381007,0,2.8261151,0,0
1905.4167,0,4.0342552,0,0,3.5852887,0,0,0,0
1905.5,0,0,0,0,1.2522719,0,0,0,0
1905.5833,0,0,0,0,0.87301535,0,0,0,0
1905.6667,0,0,0,0,0.84365977,0,0,0,0
1905.75,0,0,0,0,1.6066683,0,0,0,0
1905.8333,0,0,0,0,35.563898,0,0,0,0
1905.9167,0,0,0,0,76.442987,0,0,0,0
1906,0,0.35744209,0,0,93.286305,0,0,0,0
1906.0833,0,13.597516,0,0,94.435161,0,0,0,0
1906.1667,0,45.399719,0,0,90.54495,0,0,0,0
1906.25,0,86.635798,0,0,93.122708,0,0,0,0
1906.3333,0,96.545663,0,0,94.782094,0,0,0,0
1906.4167,0,88.758127,0,0,86.426979,0,0,0,0
1906.5,0,5.8512612,0,0,62.169095,0,0,0,0
1906.5833,0,0,0,0,48.648906,0,0,0,0
1906.6667,0,0,0,0,47.741591,0,0,0,0
1906.75,0,0,0,0,47.330172,0,0,0,0
1906.8333,0,0,0,0,54.802568,0,0,0,0
1906.9167,0,0,0,0,63.054296,0,0,0,0
1907,17.909709,0.046921049,0,0.73637159,69.50798,0,0.56293399,0,0
1907.0833,18.400292,5.1774607,0,0.74877442,72.834679,0,0.60988764,0,0
1907.1667,244.94472,38.373019,0,10.109916,73.257771,0,8.2196869,0,0
1907.25,221.68049,79.863995,0,9.4526482,71.794333,0,7.6530344,0,0
1907.3333,186.57533,104.30964,0,8.2729358,86.785607,0,7.4477976,0,0
1907.4167,0,108.73437,0,0,79.561233,0,0,0,0
1907.5,0,32.198097,0,0,50.606307,0,0,0,0
1907.5833,0,0,0,0,18.217696,0,0,0,0
1907.6667,0,0.063908663,0,0,12.648027,0,0,0,0
1907.75,0,0.19379365,0,0,13.636329,0,0,0,0
1907.8333,64.821702,0.26619944,0,2.7509667,14.022547,0,2.9872399,0,0
1907.9167,206.32275,0.30168609,0,8.9660323,13.55729,0,9.521368,0,0
1908,192.28371,0.48832928,0,8.6602822,13.823477,0,8.8637203,0,0
1908.0833,178.94019,2.2672686,0,8.3446613,18.422162,0,8.2794839,0,0
1908.1667,166.50388,12.559944,0,8.0116614,23.892231,0,7.7265333,0,0
1908.25,153.70129,33.73345,0,7.5122748,48.521203,0,7.8163496,0,0
1908.3333,101.31325,54.346278,0,5.000707,46.478278,0,6.1581532,0,0
1908.4167,0,14.144671,0,0,26.340139,0,0,0,0
1908.5,0,0.62968211,0,0,2.8436235,0,0,0,0
1908.5833,0,0.81145431,0,0,0.63136241,0,0,0,0
1908.6667,0,1.0305497,0,0,0.1677454,0,0,0,0
1908.75,0,1.6033288,0,0,0.44671228,0,0,0,0
1908.8333,133.47068,1.8507869,0,8.1984959,5.2226471,0,8.7959764,0,0
1908.9167,161.83602,1.5733049,0,10.192755,31.143392,0,10.77243,0,0
1909,147.80981,1.5249474,0,9.5567503,56.574928,0,10.016428,0,0
1909.0833,136.60603,6.2973355,0,8.9361216,71.029629,0,9.3415324,0,0
1909.1667,126.00157,24.260848,0,8.3375206,75.964184,0,8.7068341,0,0
1909.25,115.26906,41.830246,0,7.7556406,81.548233,0,8.2482155,0,0
1909.3333,78.557929,53.842798,0,5.3936094,83.942367,0,6.5664788,0,0
1909.4167,0,16.296029,0,0,56.226964,0,0,0,0
1909.5,0,0.011762424,0,0,6.233141,0,0,0,0
1909.5833,0,0.41488993,0,0,0.54004293,0,0,0,0
1909.6667,0,1.6392428,0,0,0.12302935,0,0,0,0
1909.75,0,2.9857318,0,0,0.14907461,0,0,0,0
1909.8333,0,3.7551264,0,0,6.3699337,0,0,0,0
1909.9167,0,6.0285991,0,0,39.373269,0,0,0,0
1910,39.113032,24.591843,0,2.4730455,62.354609,0,4.7126414,0,0
1910.0833,109.87492,46.012394,0,7.3108075,66.320425,0,13.906983,0,0
1910.1667,92.889318,50.472211,0,6.80365,63.814379,0,12.878843,0,0
1910.25,67.15467,35.048518,0,6.3147697,73.477437,0,12.295313,0,0
1910.3333,45.17295,19.517329,0,5.8330681,73.855279,0,12.855099,0,0
1910.4167,3.8965565,15.294716,0,0.55445441,64.853142,0,1.3148079,0,0
1910.5,0,1.457758,0,0,25.68987,0,0,0,0
1910.5833,0,0.18512881,0,0,3.0408949,0,0,0,0
1910.6667,0,0.67870377,0,0,1.466213,0,0,0,0
1910.75,0,1.5756921,0,0,1.5095885,0,0,0,0
1910.8333,0,2.771377,0,0,1.9361884,0,0,0,0
1910.9167,31.364962,3.6344996,0,2.9839877,5.7410697,0,10.413387,0,0
1911,50.816869,4.3923548,0,4.9753189,14.26001,0,16.783188,0,0
1911.0833,46.849555,5.6495068,0,4.7700633,19.324145,0,15.492322,0,0
