year,froot_gCm2,leaf_gCm2,p_uptake_demand_ratio,gpp_pft7_gCm2day,gpp_pft9_gCm2day,gpp_pft10_gCm2day,l2fr_site,l2fr_canopy,l2fr_ustory,leaf_alloc_gCm2yr,froot_alloc_gCm2yr
1901,10.525593,49.779657,3.1481406e-05,0.00037011967,0,0,1.9429388,2.6601846,1.9601752,26.768376,14.375453
1901.0833,10.182238,48.168715,3.2607182e-05,-1.0069386e-06,0,0,1.8324089,2.4326103,1.7946148,32.232192,27.480949
1901.1667,9.7828917,46.351396,3.3595839e-05,-1.2723592e-05,0,0,1.7638813,2.2214904,1.6408869,26.137169,31.388347
1901.25,10.115813,44.35958,3.2183481e-05,-0.00085527255,-0.00025116616,0,1.7443135,2.0180643,1.4934595,24.51203,29.240327
1901.3333,10.977745,42.286716,3.0520336e-05,-0.00031196271,0.00031915092,0,1.7176278,1.8336711,1.3555541,22.81146,23.082759
1901.4167,11.157314,42.294394,3.2514661e-05,0.76500872,2.2581674,0.027141192,1.6477833,1.670112,1.2270776,90.254133,27.103155
1901.5,15.757671,48.607845,4.2285672e-05,2.924807,7.2994495,0.22536288,1.7433972,1.5226518,1.1110842,71.333246,81.066594
1901.5833,22.473725,50.531704,4.2410182e-05,2.4950652,6.2705057,0.23029216,2.0596919,1.3946031,1.0057988,49.080989,78.775045
1901.6667,28.540466,52.53889,3.1920961e-05,2.0942154,0.56558608,0.022167388,2.2775137,1.3045707,0.91439557,65.933192,80.740324
1901.75,33.652049,54.62274,2.0430018e-05,0.40044232,0,0,2.2589982,1.219411,0.83397609,48.803147,52.129588
1901.8333,35.710469,54.335739,9.3162462e-06,0,0,0,2.1184571,1.1489232,0.76358151,40.443211,40.520906
1901.9167,36.836755,52.777417,8.1955723e-06,-7.5957911e-12,0,0,1.9680442,1.1020676,0.70177943,55.769526,53.864338
1902,38.723148,51.906448,7.7909499e-06,0,0,0,1.7974517,1.0642451,0.64821833,34.870198,61.130646
1902.0833,38.995035,49.686901,7.7874747e-06,-2.7202258e-10,0,0,1.6517799,1.0409775,0.60294926,33.037464,63.820499
1902.1667,36.311466,47.284909,8.2721617e-06,0,0,0,1.5789551,1.0363944,0.56148583,29.03858,53.879995
1902.25,35.193797,44.481497,8.6697291e-06,-0.00011682482,-0.00010351883,0,1.6065412,1.0512457,0.52317888,24.885644,36.54917
1902.3333,33.927757,41.983441,1.0133896e-05,0.039151411,0.12951195,0.0005466672,1.6238922,1.0884006,0.48894906,23.236881,10.543387
1902.4167,40.668678,44.786755,1.1473983e-05,2.7438297,7.9992056,0.14226946,1.7703055,1.1466678,0.4585745,86.293528,280.04777
1902.5,61.949577,46.763517,1.6608536e-05,2.766723,7.5004304,0.22829886,2.3403039,1.2455753,0.44632027,44.285816,246.84046
1902.5833,79.889335,48.071075,1.3944343e-05,2.5684623,4.2027045,0.13741652,3.1158636,1.3926247,0.4514488,48.195913,224.10006
1902.6667,94.341151,49.786698,1.0874508e-05,2.1343268,0,0,3.9978583,1.590207,0.46521214,50.873091,174.88659
1902.75,101.44529,51.033065,8.5131387e-06,0.39491272,0,0,4.6858139,1.8447578,0.48965195,44.033586,97.902097
1902.8333,105.28274,51.660176,7.3896163e-06,0.0001123936,0,0,4.9376793,2.1422107,0.52535605,39.437166,74.572101
1902.9167,106.94329,52.158639,5.1529519e-06,5.352747e-05,0,0,4.7796235,2.4269733,0.57123441,50.393378,52.087031
1903,106.87346,53.271182,4.9345954e-06,0.0016410145,0,0,4.5209894,2.6763749,0.62867111,35.07178,33.793523
1903.0833,104.21988,53.220153,5.0755166e-06,0.0087768083,0,0,4.1527162,2.8723776,0.693443,35.712807,43.591518
1903.1667,99.328071,53.171974,5.3405361e-06,0.0078636146,0,0,3.6347997,3.0185857,0.76774412,34.373445,53.308967
