year,sminp_gPm2,labilep_gPm2,secondp_gPm2,occlp_gPm2,primp_gPm2,litr1p_gPm2,litr2p_gPm2,litr3p_gPm2,vegp_gPm2,storep_gPm2,totsomp_gPm2,p_uptake_gPm2yr,p_efflux_gPm2yr,sminp_leached_gPm2yr,total_inorganic_gPm2,total_ecosystem_gPm2
1901,736.97894,39.515076,424.49701,0.96073747,0.031485662,5.2026696,41.513321,20.368231,8.0009632,7.1749558,265.71045,1035.7908,1035.632,3.3138092e-06,1201.9832,1549.9538
1901.0833,691.06653,38.786793,424.5979,0.96115506,0.0314859,5.238091,41.45932,20.342787,7.8661304,7.0521364,263.35687,568.76819,568.64246,2.8054935e-06,1155.4438,1500.7591
1901.1667,646.57318,37.911175,424.69464,0.96157265,0.031486139,5.2740216,41.417652,20.323378,7.7424512,6.9387579,263.30594,533.35406,533.23181,2.2679019e-06,1110.172,1455.1742
1901.25,603.66211,36.812916,424.78973,0.96200448,0.031486385,5.3118315,41.386368,20.309111,7.615346,6.8227911,263.25339,500.85007,500.73077,1.7553174e-06,1066.2583,1410.9571
1901.3333,562.25684,34.936543,424.87781,0.96243638,0.031486634,5.3485184,41.364075,20.299229,7.4891138,6.7081456,263.20105,500.40802,500.29153,1.2665236e-06,1023.0651,1367.4752
1901.4167,525.83142,29.962076,424.94849,0.96286839,0.03148688,5.402967,41.433754,20.333506,7.9411101,6.6620698,263.15063,337.85486,326.27103,8.1779274e-07,981.73639,1326.6604
1901.5,500.30853,26.196022,424.99622,0.96330047,0.031487126,5.489871,41.756378,20.488562,8.6021967,6.7906151,263.1004,335.66071,329.24118,3.6833819e-07,952.49561,1298.7236
1901.5833,474.3858,19.751722,425.01807,0.96373963,0.031487375,6.0714679,42.85247,21.025402,9.1093864,7.170444,263.03833,235.73001,227.99208,1.8459204e-07,920.15082,1269.4183
1901.6667,459.55719,15.259739,425.01193,0.96417171,0.031487621,6.8735552,44.330688,21.74975,9.4088497,7.3933239,262.97211,163.97443,159.17032,1.0617256e-07,900.82452,1253.5528
1901.75,449.57446,11.228737,424.9827,0.96460378,0.031487867,7.1454468,44.989975,22.072796,8.8524618,7.4932661,262.90326,76.263908,83.276398,8.8007603e-08,886.78198,1240.2392
1901.8333,445.73676,9.7014484,424.94009,0.96503586,0.031488113,6.9299531,44.704781,21.934233,8.2963972,7.4423294,262.83878,36.060616,35.916809,1.2564912e-07,881.37482,1233.5213
1901.9167,443.25671,8.6675901,424.89133,0.96546787,0.031488359,6.8097377,44.520855,21.845367,8.1615448,7.3186202,262.78445,27.862955,28.793819,1.2794828e-07,877.81262,1229.2532
1902,456.50876,12.863872,424.84961,0.96590686,0.031488609,6.7068739,44.364128,21.769836,8.0615101,7.2297697,171.39549,210.62199,209.01979,2.4975006e-07,895.2196,1154.7472
1902.0833,455.34805,12.289633,424.81958,0.96632463,0.031488843,6.6291475,44.241722,21.711082,7.9439311,7.1228566,168.19292,19.185263,19.053951,2.4285188e-07,893.45508,1149.2968
1902.1667,454.1398,11.783888,424.78647,0.96674234,0.031489082,6.5672064,44.142151,21.663527,7.8220563,7.0119009,168.17805,13.189913,13.061961,2.3442887e-07,891.70837,1147.0932
1902.25,453.31644,11.469194,424.75021,0.96717423,0.031489324,6.5135436,44.057487,21.623316,7.6998215,6.9007845,168.16277,8.9447231,8.8200989,2.2814415e-07,890.53455,1145.4923
1902.3333,452.69922,11.258345,424.71265,0.96760601,0.03148957,6.4489141,43.999298,21.59577,7.5894966,6.7986803,168.14914,8.8305359,8.4683743,2.1441159e-07,889.66925,1144.2506
1902.4167,451.89334,10.989954,424.67401,0.96803778,0.031489812,6.2624888,44.167805,21.676212,7.7565694,6.1384649,168.13905,17.87789,13.483228,1.4545279e-07,888.55682,1142.6974
1902.5,450.38553,10.464753,424.63336,0.9684695,0.031490054,6.1485238,44.355213,21.765915,8.0919037,6.1953239,168.12158,26.008684,21.070845,1.0648379e-07,886.48358,1141.162
1902.5833,448.26318,9.6783257,424.58859,0.96890831,0.031490304,6.5679936,45.08054,22.123343,8.3045015,6.3108091,168.10435,28.629948,23.182182,8.1913996e-08,883.53052,1140.022
1902.6667,446.30875,8.9211836,424.54059,0.96933991,0.031490546,6.5875373,44.767998,21.974161,8.5620642,6.5023165,168.08691,26.351143,20.891684,6.9500068e-08,880.77136,1137.2524
1902.75,444.45465,8.1745281,424.48871,0.9697715,0.031490788,6.7583442,44.889881,22.03582,8.5789614,6.9436131,168.06931,23.588789,20.896709,6.6405995e-08,878.1192,1135.3951
1902.8333,442.85806,7.5144567,424.43329,0.97020304,0.03149103,6.4660969,44.453438,21.82272,8.4330673,7.5328703,168.05099,19.942427,17.949474,7.525653e-08,875.8075,1132.5667
1902.9167,441.53827,6.965023,424.37476,0.97063452,0.031491272,6.2703156,44.141003,21.670286,8.492178,7.5964622,168.03316,15.409553,16.445961,8.5722569e-08,873.88019,1130.0836
1903,440.58008,6.5857372,424.31284,0.97107303,0.031491518,6.1312933,43.876736,21.541534,8.4904156,7.5992608,168.01543,10.673292,8.8523502,9.6151382e-08,872.4812,1128.1359
1903.0833,439.97946,6.3754897,424.25253,0.9714902,0.031491753,6.0229855,43.617821,21.415638,8.5165854,7.6299253,167.99927,7.4243827,7.113215,1.0239182e-07,871.61047,1126.8127
1903.1667,439.56989,6.2570839,424.19144,0.97190738,0.031491987,5.9281416,43.374214,21.297165,8.4826927,7.6028919,167.98358,5.7981772,5.5354524,1.0278594e-07,871.02185,1125.6905
1903.25,439.24316,6.1771574,424.12781,0.97233862,0.031492226,5.8544459,43.173515,21.199556,8.3545446,7.4877257,167.96753,4.8995776,4.6702418,1.0316948e-07,870.55194,1124.5893
1903.3333,438.96457,6.1151838,424.06381,0.9727698,0.031492468,5.8047781,43.033787,21.131529,8.2716894,7.4107437,167.95183,4.6860547,4.3455057,1.0222561e-07,870.14783,1123.7522
1903.4167,438.67371,6.0513468,423.99954,0.97320086,0.03149271,5.7222252,42.975182,21.100761,8.3763599,6.7860637,167.94035,7.7923079,5.0658383,8.1004202e-08,869.72931,1122.6302
1903.5,438.18918,5.9296513,423.93481,0.97363192,0.031492949,5.6432333,42.947281,21.083128,8.5996161,6.606462,167.92429,10.695321,6.3197799,5.5497434e-08,869.05878,1121.8628
1903.5833,437.53339,5.7553821,423.86829,0.97406995,0.031493194,6.2029352,43.884628,21.5424,8.5703983,6.4842806,167.90631,11.929567,8.3133125,4.4260673e-08,868.1626,1122.7535
1903.6667,436.90308,5.5848646,423.80194,0.97450083,0.031493433,6.6194911,44.431931,21.812469,8.5442581,6.3976779,167.88858,9.9836435,7.0658212,3.9098687e-08,867.2959,1122.9903
1903.75,436.35608,5.4359851,423.7348,0.97493166,0.031493671,6.6295385,44.208443,21.705595,8.2159729,6.840776,167.86902,8.2189112,7.2351842,4.6631616e-08,866.53326,1122.0026
1903.8333,435.85947,5.3004827,423.66693,0.97536242,0.031493913,6.5232434,44.04715,21.627743,8.1005249,7.1682272,167.85045,6.6403732,5.4407225,6.5417602e-08,865.83374,1121.1511
1903.9167,435.43744,5.1862879,423.59845,0.97579312,0.031494152,6.4258571,43.872036,21.543159,8.1163626,7.1937795,167.83359,5.5930939,6.3243861,7.8796738e-08,865.22943,1120.2142
1904,435.10165,5.099524,423.52832,0.9762308,0.031494394,6.3748784,43.751328,21.485382,7.9705863,7.0604134,167.81732,4.3188987,2.4277394,8.5046722e-08,864.73724,1119.1971
1904.0833,434.83194,5.032207,423.46127,0.97664726,0.031494625,6.3416929,43.664497,21.444126,7.9381876,7.0422564,167.80261,4.0460854,2.8857965,8.3857046e-08,864.33356,1118.5669
1904.1667,434.58704,4.9726262,423.39389,0.9770636,0.031494856,6.3168235,43.597561,21.412579,7.8956671,7.0131426,167.78787,3.770071,2.6359739,8.2354859e-08,863.9621,1117.9857
1904.25,434.354,4.9173899,423.32394,0.97749406,0.031495094,6.2972059,43.544979,21.388069,7.8558149,6.9853292,167.77264,3.5798793,2.4452996,8.0928594e-08,863.60431,1117.4484
1904.3333,434.13095,4.864922,423.25375,0.97792441,0.031495333,6.2670436,43.503849,21.36891,7.8289862,6.9682736,167.75879,4.1363263,2.6015227,7.6779671e-08,863.25903,1116.9549
1904.4167,433.84799,4.7915087,423.18329,0.97835463,0.031495571,6.1192508,43.62289,21.424725,8.0173349,6.3333812,167.74881,8.8648691,5.3089066,5.3002871e-08,862.83258,1116.099
1904.5,433.33328,4.6331344,423.11224,0.97878486,0.03149581,6.0270462,43.800507,21.508392,8.263525,6.2703419,167.73186,11.113862,6.8800364,3.9432731e-08,862.08893,1115.6906
1904.5833,432.67361,4.4202409,423.03909,0.979222,0.031496048,6.5956521,44.847435,22.022135,8.3692951,6.2872477,167.71429,11.517553,8.2459221,3.1692252e-08,861.14368,1116.9797
1904.6667,432.02475,4.2062435,422.966,0.97965211,0.031496286,7.4703493,46.478939,22.821604,8.446229,6.3023453,167.69807,10.855679,7.9102168,2.6494423e-08,860.20819,1119.4257
1904.75,431.44263,4.0126305,422.89191,0.98008204,0.031496521,7.5733533,46.672237,22.917597,8.1048212,6.8343654,167.67856,8.4871597,7.4000282,3.3441989e-08,859.35876,1119.1397
1904.8333,430.92929,3.8421035,422.81689,0.98051196,0.03149676,7.3517256,46.377605,22.774263,8.0423183,7.0903487,167.66064,6.545279,5.286746,4.8184017e-08,858.60028,1117.8972
1904.9167,430.53772,3.717015,422.74112,0.98094177,0.031496994,7.2056532,46.156216,22.666918,8.0118275,7.0718727,167.64462,5.0611119,5.8647299,5.2952586e-08,858.0083,1116.7654
1905,430.20502,3.6143134,422.66357,0.98137856,0.031497236,7.0826344,45.967133,22.575424,7.8352141,6.9081302,167.62912,4.6968207,2.9702969,5.1362782e-08,857.49579,1115.4934
1905.0833,429.91537,3.5265996,422.58932,0.98179418,0.031497464,6.9792643,45.811943,22.500452,7.8132415,6.8985133,167.61432,4.3742971,3.1004677,4.9695227e-08,857.04462,1114.6624
1905.1667,429.65503,3.4502933,422.51465,0.98220968,0.031497691,6.8944235,45.682194,22.437958,7.785749,6.8832865,167.59949,4.0000048,2.7515502,4.8279944e-08,856.63373,1113.9168
1905.25,429.41342,3.3823402,422.43713,0.98263919,0.031497926,6.8235402,45.570995,22.384602,7.7556567,6.8663659,167.58424,3.7262683,2.4809585,4.715293e-08,856.24707,1113.2325
1905.3333,429.18463,3.3191843,422.35928,0.98306865,0.031498164,6.7491345,45.470539,22.336361,7.7360935,6.8590446,167.56967,4.0159144,2.5793018,4.5483002e-08,855.87769,1112.5985
1905.4167,428.91776,3.2398047,422.28113,0.98349798,0.031498399,7.1989665,46.585938,22.88283,7.8815994,6.1336637,167.55708,7.3559966,4.1926498,3.2535119e-08,855.45374,1113.6938
1905.5,428.41919,3.0592363,422.20233,0.98392725,0.031498633,8.29527,48.99118,24.060799,8.0831375,6.0819459,167.54248,11.12394,6.7296548,2.1322965e-08,854.69623,1117.751
1905.5833,427.71594,2.7864172,422.12109,0.9843635,0.031498872,9.303627,51.151325,25.11842,8.2780409,6.1974058,167.5265,12.79955,8.8331366,1.600494e-08,853.63928,1121.2146
1905.6667,427.04562,2.5217719,422.03976,0.98479259,0.031499103,10.072802,52.773209,25.912418,8.3942394,6.2577319,167.50958,10.638541,7.4688315,1.3192825e-08,852.62347,1123.5435
1905.75,426.49683,2.3071933,421.95721,0.98522162,0.031499337,10.444678,53.505775,26.271873,8.1637678,6.6936398,167.49037,8.9401417,7.4062238,1.3587076e-08,851.77795,1124.3481
1905.8333,425.96283,2.0958142,421.87363,0.9856506,0.031499572,10.282366,53.27372,26.159851,8.0481148,7.0842719,167.47256,7.8681517,6.401546,1.5125718e-08,850.9494,1123.2703
1905.9167,425.47592,1.9035478,421.78903,0.98607945,0.031499807,9.9210663,52.819767,25.938681,8.1458273,7.1869264,167.45561,7.2077336,7.7902517,1.4566089e-08,850.18604,1121.6539
1906,425.02692,1.7276932,421.70209,0.98651528,0.031500041,9.5909719,52.396793,25.732611,8.1024446,7.1477938,167.43837,6.6611404,4.8852992,1.423395e-08,849.47467,1119.8837
1906.0833,424.64145,1.5789915,421.61859,0.98692989,0.031500269,9.304307,52.024147,25.551035,8.2124329,7.2627225,167.42206,6.0520353,4.5652332,1.3839636e-08,848.85742,1118.6342
1906.1667,424.29898,1.4502928,421.53442,0.98734444,0.031500492,9.0160952,51.644417,25.365841,8.3087788,7.3642831,167.40598,5.5030193,4.1616364,1.3570632e-08,848.30255,1117.408
1906.25,423.98383,1.3358015,421.44681,0.98777294,0.031500727,8.7254047,51.250767,25.173723,8.3878765,7.4528732,167.38968,5.0250216,3.7990158,1.3126372e-08,847.78577,1116.1661
1906.3333,423.70004,1.2364911,421.35867,0.98820138,0.031500958,8.4434128,50.856068,24.980932,8.4637794,7.5324273,167.37369,4.7556233,3.521965,1.2284609e-08,847.31488,1114.9652
1906.4167,423.42435,1.1408343,421.27005,0.9886297,0.031501189,8.0725307,50.418262,24.76598,8.559041,6.8789625,167.35997,5.979228,3.6096516,1.0798493e-08,846.85535,1112.9101
1906.5,423.0415,0.98908854,421.18085,0.98905796,0.031501424,7.2651644,49.665672,24.392223,8.569499,6.4746799,167.34689,9.5753946,4.892952,6.3967525e-09,846.23199,1109.9461
1906.5833,422.56781,0.78894228,421.08929,0.98949313,0.031501658,7.6960874,50.579956,24.838631,8.5907974,6.4228611,167.32809,9.0245647,5.37886,4.1935637e-09,845.46704,1110.9235
1906.6667,422.15823,0.62004459,420.99823,0.98992121,0.031501889,8.5303354,52.107132,25.586664,8.6437845,6.4225202,167.30988,6.7302165,3.9771395,3.0956524e-09,844.79791,1113.3982
1906.75,421.87729,0.51871711,420.90652,0.99034917,0.03150212,9.4756336,53.815865,26.426008,8.6685286,6.4108119,167.29181,4.9059443,3.0425904,2.6735425e-09,844.32434,1116.413
1906.8333,421.66684,0.45498547,420.81442,0.99077708,0.031502351,9.5578852,53.956993,26.497112,8.1481562,7.1731486,167.274,3.385705,2.5845356,3.5293437e-09,843.95856,1116.5659
1906.9167,421.52362,0.42747054,420.72211,0.99120486,0.031502582,9.3083496,53.617985,26.332226,8.1276407,7.1650333,167.25757,2.5021513,3.6100571,4.7610178e-09,843.69592,1115.5047
1907,421.40671,0.41501361,420.6282,0.99163955,0.031502817,9.0594912,53.299622,26.177336,7.9021807,6.9530807,167.242,2.4379318,0.89515573,4.6846655e-09,843.47308,1114.1068
1907.0833,421.30621,0.4090082,420.53882,0.99205309,0.031503037,8.8337297,53.015869,26.039286,7.8784542,6.9425044,167.22704,2.3501573,0.98908007,4.6195026e-09,843.27759,1113.2145
1907.1667,421.21283,0.4068419,420.44943,0.99246657,0.03150326,8.6255932,52.742268,25.906206,7.8518085,6.9282389,167.21198,2.2644172,0.94224203,4.5958171e-09,843.09308,1112.3591
1907.25,421.11945,0.40630049,420.35706,0.99289399,0.031503491,8.424716,52.467663,25.77265,7.8127337,6.9034915,167.19649,2.2325857,0.94548941,4.5898521e-09,842.90723,1111.485
1907.3333,421.02719,0.40637094,420.26468,0.9933213,0.031503718,8.2352962,52.201412,25.643143,7.7804537,6.8847003,167.18117,2.2978871,0.98556727,4.5895785e-09,842.72308,1110.6492
1907.4167,420.93573,0.40685046,420.17233,0.99374855,0.031503949,8.0374422,51.948448,25.519806,7.8394685,6.450243,167.16597,2.4253895,0.75823253,4.605591e-09,842.54016,1109.5015
1907.5,420.84613,0.40834016,420.07999,0.99417567,0.031504177,7.5678654,51.420074,25.259308,8.0111074,6.1213913,167.15585,5.0320964,1.8328856,3.5905277e-09,842.36017,1107.8958
1907.5833,420.73685,0.3999553,419.98615,0.99460971,0.031504411,6.9003806,50.552292,24.830273,8.2388201,6.1790271,167.13956,5.6681967,2.2469776,2.4010556e-09,842.14905,1105.9894
